,Unnamed: 0,mpg(연비),cylinders(실린더수),displacement(배기량),horsepower(출력),weight(차중),acceleration(가속능력),modelYear(출시년도),originNumber(제조국번호),name(모델명)
396,396,31.0,4,119.0,82.00,2720.0,19.4,82,1,chevy s-10
381,381,34.0,4,108.0,70.00,2245.0,16.9,82,3,toyota corolla
366,366,28.0,4,112.0,88.00,2605.0,19.6,82,1,chevrolet cavalier
367,367,27.0,4,112.0,88.00,2640.0,18.6,82,1,chevrolet cavalier wagon
368,368,34.0,4,112.0,88.00,2395.0,18.0,82,1,chevrolet cavalier 2-door
369,369,31.0,4,112.0,85.00,2575.0,16.2,82,1,pontiac j2000 se hatchback
370,370,29.0,4,135.0,84.00,2525.0,16.0,82,1,dodge aries se
371,371,27.0,4,151.0,90.00,2735.0,18.0,82,1,pontiac phoenix
372,372,24.0,4,140.0,92.00,2865.0,16.4,82,1,ford fairmont futura
373,373,23.0,4,151.0,?,3035.0,20.5,82,1,amc concord dl
374,374,36.0,4,105.0,74.00,1980.0,15.3,82,2,volkswagen rabbit l
376,376,31.0,4,91.0,68.00,1970.0,17.6,82,3,mazda glc custom
377,377,38.0,4,105.0,63.00,2125.0,14.7,82,1,plymouth horizon miser
378,378,36.0,4,98.0,70.00,2125.0,17.3,82,1,mercury lynx l
379,379,36.0,4,120.0,88.00,2160.0,14.5,82,3,nissan stanza xe
380,380,36.0,4,107.0,75.00,2205.0,14.5,82,3,honda accord
375,375,37.0,4,91.0,68.00,2025.0,18.2,82,3,mazda glc custom l
382,382,38.0,4,91.0,67.00,1965.0,15.0,82,3,honda civic
389,389,32.0,4,144.0,96.00,2665.0,13.9,82,3,toyota celica gt
383,383,32.0,4,91.0,67.00,1965.0,15.7,82,3,honda civic (auto)
394,394,32.0,4,135.0,84.00,2295.0,11.6,82,1,dodge rampage
393,393,44.0,4,97.0,52.00,2130.0,24.6,82,2,vw pickup
392,392,27.0,4,140.0,86.00,2790.0,15.6,82,1,ford mustang gl
391,391,27.0,4,151.0,90.00,2950.0,17.3,82,1,chevrolet camaro
390,390,36.0,4,135.0,84.00,2370.0,13.0,82,1,dodge charger 2.2
395,395,28.0,4,120.0,79.00,2625.0,18.6,82,1,ford ranger
388,388,22.0,6,232.0,112.0,2835.0,14.7,82,1,ford granada l
386,386,38.0,6,262.0,85.00,3015.0,17.0,82,1,oldsmobile cutlass ciera (diesel)
385,385,25.0,6,181.0,110.0,2945.0,16.4,82,1,buick century limited
384,384,38.0,4,91.0,67.00,1995.0,16.2,82,3,datsun 310 gx
387,387,26.0,4,156.0,92.00,2585.0,14.5,82,1,chrysler lebaron medallion
343,343,39.0,4,86.0,64.00,1875.0,16.4,81,1,plymouth champ
349,349,34.7,4,105.0,63.00,2215.0,14.9,81,1,plymouth horizon 4
348,348,34.1,4,91.0,68.00,1985.0,16.0,81,3,mazda glc 4
347,347,37.7,4,89.0,62.00,2050.0,17.3,81,3,toyota tercel
346,346,37.0,4,85.0,65.00,1975.0,19.4,81,3,datsun 210 mpg
344,344,35.1,4,81.0,60.00,1760.0,16.1,81,3,honda civic 1300
340,340,23.5,6,173.0,110.0,2725.0,12.6,81,1,chevrolet citation
342,342,39.1,4,79.0,58.00,1755.0,16.9,81,3,toyota starlet
341,341,30.0,4,135.0,84.00,2385.0,12.9,81,1,plymouth reliant
339,339,25.8,4,156.0,92.00,2620.0,14.4,81,1,dodge aries wagon (sw)
338,338,26.6,4,151.0,84.00,2635.0,16.4,81,1,buick skylark
337,337,27.2,4,135.0,84.00,2490.0,15.7,81,1,plymouth reliant
351,351,29.9,4,98.0,65.00,2380.0,20.7,81,1,ford escort 2h
350,350,34.4,4,98.0,65.00,2045.0,16.2,81,1,ford escort 4w
345,345,32.3,4,97.0,67.00,2065.0,17.8,81,3,subaru
352,352,33.0,4,105.0,74.00,2190.0,14.2,81,2,volkswagen jetta
359,359,30.7,6,145.0,76.00,3160.0,19.6,81,2,volvo diesel
353,353,34.5,4,100.0,?,2320.0,15.8,81,2,renault 18i
364,364,20.2,6,200.0,88.00,3060.0,17.1,81,1,ford granada gl
363,363,26.6,8,350.0,105.0,3725.0,19.0,81,1,oldsmobile cutlass ls
362,362,22.4,6,231.0,110.0,3415.0,15.8,81,1,buick century
361,361,24.2,6,146.0,120.0,2930.0,13.8,81,3,datsun 810 maxima
360,360,25.4,6,168.0,116.0,2900.0,12.6,81,3,toyota cressida
365,365,17.6,6,225.0,85.00,3465.0,16.6,81,1,chrysler lebaron salon
358,358,28.1,4,141.0,80.00,3230.0,20.4,81,2,peugeot 505s turbo diesel
357,357,31.6,4,120.0,74.00,2635.0,18.3,81,3,mazda 626
356,356,32.9,4,119.0,100.0,2615.0,14.8,81,3,datsun 200sx
355,355,32.4,4,108.0,75.00,2350.0,16.8,81,3,toyota corolla
354,354,33.7,4,107.0,75.00,2210.0,14.4,81,3,honda prelude
315,315,19.1,6,225.0,90.00,3381.0,18.7,80,1,dodge aspen
320,320,32.2,4,108.0,75.00,2265.0,15.2,80,3,toyota corolla
319,319,37.0,4,119.0,92.00,2434.0,15.0,80,3,datsun 510 hatchback
318,318,31.3,4,120.0,75.00,2542.0,17.5,80,3,mazda 626
317,317,29.8,4,134.0,90.00,2711.0,15.5,80,3,toyota corona liftback
316,316,34.3,4,97.0,78.00,2188.0,15.8,80,2,audi 4000
312,312,28.0,4,151.0,90.00,2678.0,16.5,80,1,chevrolet citation
314,314,24.3,4,151.0,90.00,3003.0,20.1,80,1,amc concord
313,313,26.4,4,140.0,88.00,2870.0,18.1,80,1,ford fairmont
308,308,41.5,4,98.0,76.00,2144.0,14.7,80,2,vw rabbit
311,311,37.2,4,86.0,65.00,2019.0,16.4,80,3,datsun 310
310,310,32.1,4,98.0,70.00,2120.0,15.5,80,1,chevrolet chevette
309,309,38.1,4,89.0,60.00,1968.0,18.8,80,3,toyota corolla tercel
321,321,46.6,4,86.0,65.00,2110.0,17.9,80,3,mazda glc
322,322,27.9,4,156.0,105.0,2800.0,14.4,80,1,dodge colt
323,323,40.8,4,85.0,65.00,2110.0,19.2,80,3,datsun 210
331,331,29.8,4,89.0,62.00,1845.0,15.3,80,2,vokswagen rabbit
324,324,44.3,4,90.0,48.00,2085.0,21.7,80,2,vw rabbit c (diesel)
336,336,32.4,4,107.0,72.00,2290.0,17.0,80,3,honda accord
335,335,23.6,4,140.0,?,2905.0,14.3,80,1,ford mustang cobra
334,334,35.0,4,122.0,88.00,2500.0,15.1,80,2,triumph tr7 coupe
332,332,32.7,6,168.0,132.0,2910.0,11.4,80,3,datsun 280-zx
333,333,23.7,3,70.0,100.0,2420.0,12.5,80,3,mazda rx-7 gs
330,330,33.8,4,97.0,67.00,2145.0,18.0,80,3,subaru dl
329,329,40.9,4,85.0,?,1835.0,17.3,80,2,renault lecar deluxe
328,328,44.6,4,91.0,67.00,1850.0,13.8,80,3,honda civic 1500 gl
327,327,30.0,4,146.0,67.00,3250.0,21.8,80,2,mercedes-benz 240d
326,326,36.4,5,121.0,67.00,2950.0,19.9,80,2,audi 5000s (diesel)
325,325,43.4,4,90.0,48.00,2335.0,23.7,80,2,vw dasher (diesel)
285,285,17.6,8,302.0,129.0,3725.0,13.4,79,1,ford ltd landau
291,291,18.5,8,360.0,150.0,3940.0,13.0,79,1,chrysler lebaron town @ country (sw)
290,290,19.2,8,267.0,125.0,3605.0,15.0,79,1,chevrolet malibu classic (sw)
289,289,15.5,8,351.0,142.0,4054.0,14.3,79,1,ford country squire (sw)
288,288,16.9,8,350.0,155.0,4360.0,14.9,79,1,buick estate wagon (sw)
287,287,18.2,8,318.0,135.0,3830.0,15.2,79,1,dodge st. regis
286,286,16.5,8,351.0,138.0,3955.0,13.2,79,1,mercury grand marquis
293,293,34.1,4,86.0,65.00,1975.0,15.2,79,3,maxda glc deluxe
284,284,17.0,8,305.0,130.0,3840.0,15.4,79,1,chevrolet caprice classic
283,283,20.6,6,225.0,110.0,3360.0,16.6,79,1,dodge aspen 6
282,282,20.2,6,232.0,90.00,3265.0,18.2,79,1,amc concord dl 6
281,281,22.3,4,140.0,88.00,2890.0,17.3,79,1,ford fairmont 4
280,280,19.8,6,200.0,85.00,2990.0,18.2,79,1,mercury zephyr 6
279,279,21.5,6,231.0,115.0,3245.0,15.4,79,1,pontiac lemans v6
292,292,31.9,4,89.0,71.00,1925.0,14.0,79,2,vw rabbit custom
298,298,27.2,4,141.0,71.00,3190.0,24.8,79,2,peugeot 504
294,294,35.7,4,98.0,80.00,1915.0,14.4,79,1,dodge colt hatchback custom
